,school_id,latitude,longitude,type
365,31103241,-19.649112,-43.212485,"['establishment', 'point_of_interest', 'school']"
366,31166553,-18.9328567,-48.2800898,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
367,23244739,-7.229581299999999,-39.4024333,"['establishment', 'point_of_interest', 'school']"
368,35116661,-21.1988492,-50.4432243,"['establishment', 'point_of_interest', 'school']"
369,35151889,-23.6779876,-46.7343526,"['establishment', 'point_of_interest', 'school']"
370,26121530,-8.1884934,-34.9213739,"['establishment', 'point_of_interest', 'school']"
371,25062638,-7.042351699999999,-35.6264964,"['establishment', 'point_of_interest', 'school']"
372,35045974,-21.4820849,-47.0080428,"['establishment', 'point_of_interest', 'school']"
373,50000179,-19.0013742,-57.62822860000001,"['establishment', 'point_of_interest', 'school']"
375,43165486,-29.6115322,-52.1916699,"['establishment', 'point_of_interest', 'school']"
377,35002636,-23.5421192,-46.5317956,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
379,31253821,-21.7628136,-43.3496939,"['establishment', 'point_of_interest', 'school']"
380,32021933,-19.4024236,-40.066224,"['establishment', 'point_of_interest', 'school']"
382,32052103,-20.8421431,-41.1286228,"['establishment', 'point_of_interest', 'school']"
383,26115913,-7.933638299999998,-34.8562685,"['establishment', 'point_of_interest', 'primary_school', 'school', 'secondary_school']"
384,43298265,-29.6582371,-52.3997432,"['establishment', 'point_of_interest', 'school']"
385,43043836,-29.1612393,-51.15454450000001,"['establishment', 'point_of_interest', 'school']"
386,33104344,-22.7976432,-43.3663868,"['establishment', 'point_of_interest', 'school']"
387,51016800,-12.286846,-55.2941683,"['establishment', 'point_of_interest', 'school']"
389,31134562,-21.142076,-44.26596199999999,"['establishment', 'point_of_interest', 'school']"
390,29182719,-12.9708103,-38.4896987,"['establishment', 'point_of_interest', 'school']"
391,24009296,-5.569117299999999,-36.9161627,"['establishment', 'point_of_interest', 'school']"
392,42058759,-26.6357786,-52.6733595,"['establishment', 'point_of_interest', 'school']"
393,35923904,-23.7343969,-46.585417,"['establishment', 'point_of_interest', 'school']"
394,35105053,-23.5896737,-46.635503,"['establishment', 'point_of_interest', 'school']"
395,25059629,-6.6468858,-35.7883895,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
396,43092195,-28.7972732,-51.60914990000001,"['establishment', 'point_of_interest', 'school']"
397,52079031,-16.7774833,-49.2813931,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
398,31305651,-19.2726402,-45.5564012,"['establishment', 'point_of_interest', 'school']"
399,43029825,-20.4995955,-54.6034057,"['establishment', 'point_of_interest', 'school']"
400,25093088,-7.1188688,-34.8722403,"['establishment', 'point_of_interest', 'school']"
