,school_id,latitude,longitude,region,division,province,municipality,district
4976,105033,15.06808056,120.9318778,Region III,Bulacan,Bulacan,San Ildefonso,San Ildefonso North
4977,107098,15.535519,121.03474399999999,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
4978,105034,15.07561303,120.91571429999999,Region III,Bulacan,Bulacan,San Ildefonso,San Ildefonso North
4979,106466,15.56687227,120.51489109999999,Region III,Tarlac,Tarlac,Gerona,Gerona South
4980,105410,15.627298,120.711591,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
4981,240006,14.139073,121.072617,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
4982,106777,15.59697673,120.7236743,Region III,Tarlac,Tarlac,Victoria,Victoria East
4983,105915,15.10089604,120.60677450000001,Region III,Pampanga,Pampanga,Bacolor,Bacolor
4984,107099,15.487419,121.053956,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
4985,104888,14.766313,120.81900800000001,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
4986,105796,15.606844,120.92180400000001,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera North
4987,106670,15.546509,120.425322,Region III,Tarlac,Tarlac,Santa Ignacia,Sta. Ignacia
4988,105540,15.731,120.850994,Region III,Munoz Science City,Nueva Ecija,Science City Of Muñoz,Munoz
4989,106420,15.293168,120.708359,Region III,Tarlac,Tarlac,Concepcion,Concepcion South
4990,104799,14.912588,120.753716,Region III,Bulacan,Bulacan,Calumpit,Calumpit
4991,105611,15.337642,121.034594,Region III,Nueva Ecija,Nueva Ecija,Peñaranda,Penaranda
4992,104800,14.88477484,120.783868,Region III,Bulacan,Bulacan,Calumpit,Calumpit
4993,105070,15.180195,121.03162900000001,Region III,Bulacan,Bulacan,San Miguel,San Miguel North
4994,106064,15.213611,120.50763700000002,Region III,Mabalacat City,Pampanga,Mabalacat,Mabalacat North
4996,104801,14.911992,120.768317,Region III,Bulacan,Bulacan,Calumpit,Calumpit
4997,105071,15.140896,121.10771899999999,Region III,Bulacan,Bulacan,Doña Remedios Trinidad,Dona Remedios Trinidad
4998,104676,14.642064,120.574619,Region III,Bataan,Bataan,Orion,Orion
4999,104932,14.7331376,120.96121570000001,Region III,Meycauayan City,Bulacan,City Of Meycauayan,Meycauayan West
5000,106215,15.10114722,120.5833139,Region III,Pampanga,Pampanga,Porac,Porac East
5001,105661,15.387819,120.769272,Region III,Nueva Ecija,Nueva Ecija,San Antonio,San Antonio
5002,104714,14.97734911,121.0658137,Region III,Bulacan,Bulacan,Doña Remedios Trinidad,Dona Remedios Trinidad
5003,104677,14.64176271,120.5790307,Region III,Bataan,Bataan,Orion,Orion
5004,105982,14.997147,120.44747199999999,Region III,Pampanga,Pampanga,Floridablanca,Floridablanca West
5005,106074,15.19277778,120.58555559999999,Region III,Mabalacat City,Pampanga,Mabalacat,Mabalacat East
5006,104787,14.9029403,120.91503529999999,Region III,Bulacan,Bulacan,Bustos,Bustos
5007,105072,15.057231,121.102249,Region III,Bulacan,Bulacan,Doña Remedios Trinidad,Dona Remedios Trinidad
5008,104919,14.76724698,120.9912488,Region III,Meycauayan City,Bulacan,City Of Meycauayan,Meycauayan East
5009,105719,15.768342,120.98156000000002,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City West
5011,105240,15.966792,121.12826499999998,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
5012,105146,14.79558894,120.97237520000002,Region III,Bulacan,Bulacan,Santa Maria,Sta. Maria
5013,105145,14.87024329,121.0189284,Region III,Bulacan,Bulacan,Santa Maria,Sta. Maria
5014,105304,15.461477,121.31856499999999,Region III,Nueva Ecija,Nueva Ecija,Gabaldon (Bitulok & Sabani),Gabaldon
5015,105882,15.16905757,120.79658789999999,Region III,Pampanga,Pampanga,Arayat,Arayat East
5016,104788,14.92792524,120.89672659999998,Region III,Bulacan,Bulacan,Bustos,Bustos
5017,106150,14.86264354,120.6863899,Region III,Pampanga,Pampanga,Masantol,Masantol
5018,105595,15.754297,121.12921200000001,Region III,Nueva Ecija,Nueva Ecija,Pantabangan,Pantabangan
5019,106120,15.19147,120.65173300000001,Region III,Pampanga,Pampanga,Magalang,Magalang South
5020,106216,15.054884,120.452671,Region III,Pampanga,Pampanga,Porac,Porac West
5021,105379,15.730999,120.767125,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba East
5022,106828,15.1355604,120.04956680000001,Region III,Zambales,Zambales,Cabangan,Cabangan
5023,106329,15.686489,120.414083,Region III,Tarlac,Tarlac,Camiling,Camiling Central
5024,106341,15.687615,120.420367,Region III,Tarlac,Tarlac,Camiling,Camiling East
5025,106330,15.688663,120.413335,Region III,Tarlac,Tarlac,Camiling,Camiling Central
5026,106360,15.6903985,120.40803190000001,Region III,Tarlac,Tarlac,Camiling,Camiling West
5027,104431,16.3428,122.1772,Region III,Aurora,Aurora,Dilasag,Dilasag
5028,106736,15.437542,120.598226,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac South
5029,105201,15.655438,121.28151899999999,Region III,Nueva Ecija,Nueva Ecija,Bongabon,Bongabon
5030,107168,15.01501882,120.7049209,Region III,San Fernando City,Pampanga,City Of San Fernando (Capital),San Fernando East
5031,107100,15.487214,121.0323,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
5033,106548,15.734793,120.5685,Region III,Tarlac,Tarlac,Moncada,Moncada South
5034,106166,15.115099,120.664543,Region III,Pampanga,Pampanga,Mexico,Mexico North
5035,105640,15.693519,121.15054199999999,Region III,Nueva Ecija,Nueva Ecija,Rizal,Rizal
5036,105641,15.695617,121.147365,Region III,Nueva Ecija,Nueva Ecija,Rizal,Rizal
5037,104889,14.841745,120.802397,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
5038,105461,15.562504,121.18778400000001,Region III,Nueva Ecija,Nueva Ecija,Laur,Laur
5039,106778,15.5979016,120.7133719,Region III,Tarlac,Tarlac,Victoria,Victoria East
5040,106978,15.793317,119.947475,Region III,Zambales,Zambales,Santa Cruz,Sta. Cruz North
5041,105954,15.09298614,120.82799240000001,Region III,Pampanga,Pampanga,Candaba,Candaba West
5042,105883,15.149657,120.81084399999999,Region III,Pampanga,Pampanga,Arayat,Arayat East
5043,106841,15.6261677,119.9318682,Region III,Zambales,Zambales,Candelaria,Candelaria
5044,106092,14.90805556,120.7155528,Region III,Pampanga,Pampanga,Macabebe,Macabebe East
5047,104802,14.903898,120.77429199999999,Region III,Bulacan,Bulacan,Calumpit,Calumpit
5048,104890,14.846123,120.81703300000001,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
5049,105869,14.97012214,120.7863936,Region III,Pampanga,Pampanga,Apalit,Apalit
5050,106549,15.731651,120.568704,Region III,Tarlac,Tarlac,Moncada,Moncada South
5051,106370,15.336682,120.592324,Region III,Tarlac,Tarlac,Capas,Capas East
5052,106371,15.330882,120.59269099999999,Region III,Tarlac,Tarlac,Capas,Capas East
5053,106383,15.34968631,120.4589939,Region III,Tarlac,Tarlac,Capas,Capas West
5054,106737,15.433255,120.601437,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac South
5055,105116,14.99603826,120.93183570000001,Region III,Bulacan,Bulacan,San Rafael,San Rafael
5056,105241,16.094884,120.927856,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
5057,104532,14.70619246,120.5373512,Region III,Bataan,Bataan,Abucay,Abucay
5058,106712,15.53227,120.637001,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac North
5059,104678,14.6163072,120.5818938,Region III,Bataan,Bataan,Orion,Orion
5060,105814,15.663098,120.979822,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera South
5061,106510,15.601379,120.353251,Region III,Tarlac,Tarlac,Mayantoc,Mayantoc
5062,106343,15.725434,120.460378,Region III,Tarlac,Tarlac,Camiling,Camiling East
5063,106819,15.281549,120.033157,Region III,Zambales,Zambales,Botolan,Botolan South
5064,104453,15.387053,121.38517,Region III,Aurora,Aurora,Dingalan,Dingalan
5065,106497,15.44524184,120.71972609999999,Region III,Tarlac,Tarlac,La Paz,La Paz South
5066,106755,15.481453,120.570349,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac West
5067,104626,14.50804705,120.5878058,Region III,Bataan,Bataan,Limay,Limay
5068,106446,15.635598,120.623456,Region III,Tarlac,Tarlac,Gerona,Gerona North
5070,106467,15.57317669,120.5885071,Region III,Tarlac,Tarlac,Gerona,Gerona South
5071,106756,15.488025,120.537066,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac West
5072,105493,15.755073,121.01835700000001,Region III,Nueva Ecija,Nueva Ecija,Llanera,Llanera
5073,105494,15.734098,121.014346,Region III,Nueva Ecija,Nueva Ecija,Llanera,Llanera
5074,104835,14.857507,120.76015500000001,Region III,Bulacan,Bulacan,Hagonoy,Hagonoy East
5075,106577,15.64618022,120.5884695,Region III,Tarlac,Tarlac,Paniqui,Paniqui South
5076,105854,15.44458,120.827766,Region III,Nueva Ecija,Nueva Ecija,Zaragoza,Zaragoza
5077,104411,15.7525,121.57666670000002,Region III,Aurora,Aurora,Baler  (Capital),Baler
5078,105983,14.947304,120.48441299999999,Region III,Pampanga,Pampanga,Floridablanca,Floridablanca West
5079,105242,15.959847,121.064079,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
5080,105462,15.520431,121.140831,Region III,Nueva Ecija,Nueva Ecija,Laur,Laur
5081,106829,15.12926576,120.0543508,Region III,Zambales,Zambales,Cabangan,Cabangan
5083,105620,15.580118,120.79638,Region III,Nueva Ecija,Nueva Ecija,Quezon,Quezon
5084,104423,16.27583333,122.12555559999998,Region III,Aurora,Aurora,Casiguran,Casiguran
5085,105642,15.706131,121.15889399999999,Region III,Nueva Ecija,Nueva Ecija,Rizal,Rizal
5086,105495,15.601637,120.97521699999999,Region III,Nueva Ecija,Nueva Ecija,Llanera,Llanera
5087,106307,15.75316362,120.61205149999999,Region III,Tarlac,Tarlac,Anao,Anao
5088,159026,15.411278,121.001823,Region III,Nueva Ecija,Nueva Ecija,Santa Rosa,Sta. Rosa
5090,105411,15.671368,120.74523400000001,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
5091,105735,15.318717,120.93013400000001,Region III,Nueva Ecija,Nueva Ecija,San Leonardo,San Leonardo
5092,106856,14.93005131,120.20173940000001,Region III,Zambales,Zambales,Castillejos,Castillejos
5093,106394,15.305152,120.7323,Region III,Tarlac,Tarlac,Concepcion,Concepcion East
5094,106103,14.922308,120.67658200000001,Region III,Pampanga,Pampanga,Macabebe,Macabebe West
5096,104608,14.84366106,120.473056,Region III,Bataan,Bataan,Hermosa,Hermosa
5097,106617,15.70829537,120.3660125,Region III,Tarlac,Tarlac,San Clemente,San Clemente
5098,104789,14.91878218,120.94342250000001,Region III,Bulacan,Bulacan,Bustos,Bustos
5100,104962,14.70671481,120.94110819999999,Region III,Bulacan,Bulacan,Obando,Obando
5101,104556,14.67517742,120.5383615,Region III,Balanga City,Bataan,City Of Balanga (Capital),Balanga City West
5102,106628,15.47834967,120.4545227,Region III,Tarlac,Tarlac,San Jose,San Jose
5103,105412,15.616245,120.761473,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba West
5104,106842,15.621187,119.93476100000001,Region III,Zambales,Zambales,Candelaria,Candelaria
5106,106447,15.617062,120.597369,Region III,Tarlac,Tarlac,Gerona,Gerona North
5107,107075,15.491847,120.93991100000001,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City North District
5108,106498,15.3991349,120.71839569999999,Region III,Tarlac,Tarlac,La Paz,La Paz South
5109,106906,15.44417396,119.9310679,Region III,Zambales,Zambales,Palauig,Palauig
5110,105380,15.675499,120.77186699999999,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba East
5111,107008,14.845249,120.18905600000001,Region III,Zambales,Zambales,Subic,Subic
5112,107009,14.877261,120.16984599999999,Region III,Zambales,Zambales,Subic,Subic
5113,106167,15.152702,120.67088799999999,Region III,Pampanga,Pampanga,Mexico,Mexico North
5114,105381,15.641552,120.787292,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba East
5115,105147,14.85097733,120.97923440000001,Region III,Bulacan,Bulacan,Santa Maria,Sta. Maria
5116,106578,15.65297778,120.57386670000001,Region III,Tarlac,Tarlac,Paniqui,Paniqui South
5117,106331,15.696415,120.415081,Region III,Tarlac,Tarlac,Camiling,Camiling Central
5119,105149,14.84460422,120.9699318,Region III,Bulacan,Bulacan,Santa Maria,Sta. Maria
5120,160503,15.032421,120.258324,Region III,Zambales,Zambales,San Marcelino,San Marcelino
5121,107076,15.499664,120.917075,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City North District
5122,105836,15.767144,120.81115700000001,Region III,Nueva Ecija,Nueva Ecija,Talugtug,Talugtug
5123,107101,15.532108,121.044233,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City South District
5124,104892,14.839561,120.81381999999999,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),South District
5125,240003,14.844886,120.830114,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),North District
5126,106564,15.67432586,120.5846259,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
5127,104715,14.918695,121.03823899999999,Region III,Bulacan,Bulacan,Angat,Angat
5128,106579,15.63618187,120.5406377,Region III,Tarlac,Tarlac,Paniqui,Paniqui South
5129,105815,15.638029,120.95311299999999,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera South
5130,106889,15.54081083,119.9544216,Region III,Zambales,Zambales,Masinloc,Masinloc
5131,104572,14.84785464,120.41242700000001,Region III,Bataan,Bataan,Dinalupihan,Dinalupihan West
5134,105267,15.812085,120.72228899999999,Region III,Nueva Ecija,Nueva Ecija,Cuyapo,Cuyapo
5135,106499,15.39787297,120.7009077,Region III,Tarlac,Tarlac,La Paz,La Paz South
5136,105773,15.644136,120.83374199999999,Region III,Nueva Ecija,Nueva Ecija,Santo Domingo,Sto. Domingo
5137,106395,15.379067,120.70826799999999,Region III,Tarlac,Tarlac,Concepcion,Concepcion East
5138,105855,15.440774,120.79914099999999,Region III,Nueva Ecija,Nueva Ecija,Zaragoza,Zaragoza
5139,104752,14.9525238,120.88905220000001,Region III,Bulacan,Bulacan,Baliuag,Baliuag South
5140,105217,15.221308,120.83175200000001,Region III,Nueva Ecija,Nueva Ecija,Cabiao,Cabiao
5141,105774,15.57767,120.898178,Region III,Nueva Ecija,Nueva Ecija,Santo Domingo,Sto. Domingo
5142,105916,15.221798,120.60983999999999,Region III,Pampanga,Pampanga,Bacolor,Bacolor
5143,106168,15.109514,120.712626,Region III,Pampanga,Pampanga,Mexico,Mexico North
5144,106404,15.32594062,120.65432040000002,Region III,Tarlac,Tarlac,Concepcion,Concepcion North
5145,106421,15.324386,120.656477,Region III,Tarlac,Tarlac,Concepcion,Concepcion South
5147,106428,15.328318,120.62771799999999,Region III,Tarlac,Tarlac,Concepcion,Concepcion West
5148,105856,15.444745,120.790985,Region III,Nueva Ecija,Nueva Ecija,Zaragoza,Zaragoza
5149,104766,14.8000523,120.92285430000001,Region III,Bulacan,Bulacan,Bocaue,Bocaue
5150,105382,15.65599,120.806303,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba East
5152,106104,14.803101,120.656302,Region III,Pampanga,Pampanga,Macabebe,Macabebe West
5153,106961,14.98536622,120.14133079999999,Region III,Zambales,Zambales,San Narciso,San Narciso
5154,105596,15.898201,121.12763700000001,Region III,Nueva Ecija,Nueva Ecija,Pantabangan,Pantabangan
5155,106396,15.367212,120.688248,Region III,Tarlac,Tarlac,Concepcion,Concepcion East
5156,104946,14.922087,121.081337,Region III,Bulacan,Bulacan,Norzagaray,Norzagaray
5157,106580,15.66013472,120.5724031,Region III,Tarlac,Tarlac,Paniqui,Paniqui South
5158,106607,15.67394108,120.6372803,Region III,Tarlac,Tarlac,Ramos,Ramos
5159,105117,15.00033889,120.9810111,Region III,Bulacan,Bulacan,San Rafael,San Rafael
5160,105520,15.870393,120.913726,Region III,Nueva Ecija,Nueva Ecija,Lupao,Lupao
5161,106890,15.570092,120.086395,Region III,Zambales,Zambales,Masinloc,Masinloc
5162,106388,15.35022948,120.5732238,Region III,Tarlac,Tarlac,Capas,Capas West
5163,106392,15.36055204,120.53656609999999,Region III,Tarlac,Tarlac,Capas,Capas West
5164,106391,15.35900796,120.5293429,Region III,Tarlac,Tarlac,Capas,Capas West
5165,105202,15.615898,121.155149,Region III,Nueva Ecija,Nueva Ecija,Bongabon,Bongabon
5166,106779,15.55838424,120.689503,Region III,Tarlac,Tarlac,Victoria,Victoria East
5167,107077,15.511272,120.98290800000001,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City North District
5168,107053,15.14599158,120.5500728,Region III,Angeles City,Pampanga,Angeles City,West District
5169,105932,15.19541,120.92222199999999,Region III,Pampanga,Pampanga,Candaba,Candaba East
5170,158529,15.261477,121.130875,Region III,Bulacan,Bulacan,Doña Remedios Trinidad,Dona Remedios Trinidad
5171,106397,15.33666,120.72053100000001,Region III,Tarlac,Tarlac,Concepcion,Concepcion East
5172,105696,15.784654,121.02342800000001,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City East
5173,105002,14.91432962,120.89457469999999,Region III,Bulacan,Bulacan,Plaridel,Plaridel
5174,105837,15.779039,120.812531,Region III,Nueva Ecija,Nueva Ecija,Talugtug,Talugtug
5175,104609,14.8387,120.478,Region III,Bataan,Bataan,Hermosa,Hermosa
5176,105383,15.661591,120.84449,Region III,Nueva Ecija,Nueva Ecija,Guimba,Guimba East
5177,106169,15.140425,120.65756110000001,Region III,Pampanga,Pampanga,Mexico,Mexico North
5178,104557,14.66833774,120.54328329999998,Region III,Balanga City,Bataan,City Of Balanga (Capital),Balanga City West
5179,104974,14.895354,120.93715700000001,Region III,Bulacan,Bulacan,Pandi,Pandi
5180,105884,15.133786,120.788628,Region III,Pampanga,Pampanga,Arayat,Arayat East
5181,105268,15.779555,120.682603,Region III,Nueva Ecija,Nueva Ecija,Cuyapo,Cuyapo
5182,105541,15.670578,120.84596699999999,Region III,Munoz Science City,Nueva Ecija,Science City Of Muñoz,Munoz
5183,107054,15.13033836,120.5807757,Region III,Angeles City,Pampanga,Angeles City,South District
5184,104820,14.86207581,120.895173,Region III,Bulacan,Bulacan,Guiguinto,Guiguinto
5185,106738,15.46987,120.662494,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac South
5186,107025,15.171331,120.627026,Region III,Angeles City,Pampanga,Angeles City,East District
5187,105305,15.442915,121.346764,Region III,Nueva Ecija,Nueva Ecija,Gabaldon (Bitulok & Sabani),Gabaldon
5188,105269,15.780116,120.661969,Region III,Nueva Ecija,Nueva Ecija,Cuyapo,Cuyapo
5189,161501,15.471433,120.95989399999999,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City East District
5190,104679,14.60021664,120.5793348,Region III,Bataan,Bataan,Orion,Orion
5191,107078,15.507778,120.97520800000001,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City North District
5192,104573,14.85667629,120.47955870000001,Region III,Bataan,Bataan,Dinalupihan,Dinalupihan East
5193,159030,15.575027,120.869522,Region III,Nueva Ecija,Nueva Ecija,Santo Domingo,Sto. Domingo
5194,105118,15.033525,120.91436399999999,Region III,Bulacan,Bulacan,San Rafael,San Rafael
5195,160004,15.77011281,120.62231899999999,Region III,Tarlac,Tarlac,Anao,Anao
5196,104869,14.850636,120.83536399999998,Region III,Malolos City,Bulacan,City Of Malolos  (Capital),North District
5197,107079,15.535153,120.959069,Region III,Cabanatuan City,Nueva Ecija,Cabanatuan City,Cabanatuan City North District
5198,106105,14.90805556,120.7155528,Region III,Pampanga,Pampanga,Macabebe,Macabebe West
5199,106946,14.977386,120.28154099999999,Region III,Zambales,Zambales,San Marcelino,San Marcelino
5200,104574,14.897566,120.448723,Region III,Bataan,Bataan,Dinalupihan,Dinalupihan East
5201,105933,15.016609,120.864876,Region III,Pampanga,Pampanga,Candaba,Candaba East
5202,106106,14.891477,120.65768100000001,Region III,Pampanga,Pampanga,Macabebe,Macabebe West
5203,106716,15.52938,120.60448999999998,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac North
5204,105243,15.97547,121.045973,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
5205,106618,15.70135732,120.35086329999999,Region III,Tarlac,Tarlac,San Clemente,San Clemente
5206,104731,14.843868,120.921428,Region III,Bulacan,Bulacan,Balagtas (Bigaa),Balagtas
5207,106962,14.99461172,120.12865490000002,Region III,Zambales,Zambales,San Narciso,San Narciso
5208,106690,15.49932,120.617181,Region III,Tarlac City,Tarlac,City Of Tarlac (Capital),Tarlac Central
5209,106843,15.61442253,119.91557009999998,Region III,Zambales,Zambales,Candelaria,Candelaria
5210,106871,15.371619,119.957977,Region III,Zambales,Zambales,Iba (Capital),Iba
5211,106907,15.437155,120.021996,Region III,Zambales,Zambales,Palauig,Palauig
5212,105985,14.9362372,120.4780195,Region III,Pampanga,Pampanga,Floridablanca,Floridablanca West
5213,105016,14.9417629,120.84428989999999,Region III,Bulacan,Bulacan,Pulilan,Pulilan
5214,105003,14.899071,120.81963300000001,Region III,Bulacan,Bulacan,Plaridel,Plaridel
5215,106802,15.29177195,120.0041129,Region III,Zambales,Zambales,Botolan,Botolan North
5216,106468,15.59725057,120.5782154,Region III,Tarlac,Tarlac,Gerona,Gerona South
5217,106075,15.27861111,120.52194440000001,Region III,Mabalacat City,Pampanga,Mabalacat,Mabalacat East
5218,106581,15.6363291,120.5580479,Region III,Tarlac,Tarlac,Paniqui,Paniqui South
5219,106315,15.279083,120.522251,Region III,Tarlac,Tarlac,Bamban,Bamban
5220,106908,15.460526,119.98913600000002,Region III,Zambales,Zambales,Palauig,Palauig
5221,106076,15.1820169,120.58577520000001,Region III,Mabalacat City,Pampanga,Mabalacat,Mabalacat South
5222,106077,15.17616542,120.592509,Region III,Mabalacat City,Pampanga,Mabalacat,Mabalacat South
5223,104821,14.8554018,120.8868114,Region III,Bulacan,Bulacan,Guiguinto,Guiguinto
5224,106629,15.5316492,120.4802048,Region III,Tarlac,Tarlac,San Jose,San Jose
5225,106201,14.966061,120.68616000000002,Region III,Pampanga,Pampanga,Minalin,Minalin
5226,104490,15.76166667,121.46055559999999,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5227,104491,15.765,121.3075,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5228,105986,15.0019517,120.53602790000001,Region III,Pampanga,Pampanga,Floridablanca,Floridablanca West
5229,106020,14.93168596,120.56226640000001,Region III,Pampanga,Pampanga,Lubao,Lubao East
5230,105643,15.695207,121.086942,Region III,Nueva Ecija,Nueva Ecija,Rizal,Rizal
5231,106857,14.92449157,120.2161024,Region III,Zambales,Zambales,Castillejos,Castillejos
5232,107180,15.068521,120.63928119999999,Region III,San Fernando City,Pampanga,City Of San Fernando (Capital),San Fernando North
5233,106565,15.68389626,120.5952635,Region III,Tarlac,Tarlac,Paniqui,Paniqui North
5234,106046,14.92592851,120.5320434,Region III,Pampanga,Pampanga,Lubao,Lubao West
5235,106255,15.02645,120.73668700000002,Region III,Pampanga,Pampanga,San Simon,San Simon
5236,107181,15.086642,120.628555,Region III,San Fernando City,Pampanga,City Of San Fernando (Capital),San Fernando North
5237,163001,15.075703,120.63091999999999,Region III,San Fernando City,Pampanga,City Of San Fernando (Capital),San Fernando North
5238,159023,15.787966,120.95732,Region III,San Jose City,Nueva Ecija,San Jose City,San Jose City West
5239,106316,15.29703862,120.5922568,Region III,Tarlac,Tarlac,Bamban,Bamban
5240,106539,15.76028834,120.57044509999999,Region III,Tarlac,Tarlac,Moncada,Moncada North
5241,105270,15.778887,120.66206299999999,Region III,Nueva Ecija,Nueva Ecija,Cuyapo,Cuyapo
5242,105542,15.732986,120.931375,Region III,Munoz Science City,Nueva Ecija,Science City Of Muñoz,Munoz
5243,104492,15.76944444,121.49166670000001,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5244,104493,15.81305556,121.44194440000001,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5245,104432,16.447903,122.19898,Region III,Aurora,Aurora,Dilasag,Dilasag
5247,157509,16.322693,122.190201,Region III,Aurora,Aurora,Dilasag,Dilasag
5248,104466,16.0024,121.6415,Region III,Aurora,Aurora,Dipaculao,Dipaculao
5249,104467,15.967921,121.61663300000001,Region III,Aurora,Aurora,Dipaculao,Dipaculao
5251,104424,16.2433,122.0626,Region III,Aurora,Aurora,Casiguran,Casiguran
5253,104514,15.6282,121.5761,Region III,Aurora,Aurora,San Luis,San Luis
5254,104425,16.215,122.0611111,Region III,Aurora,Aurora,Casiguran,Casiguran
5255,104515,15.6675,121.59805559999998,Region III,Aurora,Aurora,San Luis,San Luis
5256,104468,15.947722,121.590535,Region III,Aurora,Aurora,Dipaculao,Dipaculao
5257,104433,16.421,122.1919,Region III,Aurora,Aurora,Dilasag,Dilasag
5258,106448,15.61691,120.557753,Region III,Tarlac,Tarlac,Gerona,Gerona North
5259,104412,15.74194444,121.55694440000002,Region III,Aurora,Aurora,Baler  (Capital),Baler
5260,105244,15.948257,120.97782,Region III,Nueva Ecija,Nueva Ecija,Carranglan,Carranglan
5261,104454,15.42055556,121.45277779999999,Region III,Aurora,Aurora,Dingalan,Dingalan
5262,104516,15.5772,121.5352,Region III,Aurora,Aurora,San Luis,San Luis
5263,158512,14.905901,121.176506,Region III,Bulacan,Bulacan,Norzagaray,Norzagaray
5264,104495,15.75527778,121.49194440000001,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5265,106289,15.015539,120.580063,Region III,Pampanga,Pampanga,Santa Rita,Sta. Rita
5266,104434,16.436048,122.19511399999999,Region III,Aurora,Aurora,Dilasag,Dilasag
5267,104435,16.39415833,122.2126361,Region III,Aurora,Aurora,Dilasag,Dilasag
5268,105119,15.021875,120.9553639,Region III,Bulacan,Bulacan,San Rafael,San Rafael
5269,104517,15.49,121.47694440000001,Region III,Aurora,Aurora,San Luis,San Luis
5270,104496,15.805803,121.492515,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5271,105816,15.606707,120.967064,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera South
5272,105817,15.597413,120.95780800000001,Region III,Nueva Ecija,Nueva Ecija,Talavera,Talavera South
5273,104436,16.394791,122.18476299999999,Region III,Aurora,Aurora,Dilasag,Dilasag
5274,104497,15.77611111,121.3525,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5275,104469,16.0763,121.6887,Region III,Aurora,Aurora,Dipaculao,Dipaculao
5277,104575,14.86841682,120.46929420000001,Region III,Bataan,Bataan,Dinalupihan,Dinalupihan East
5279,104455,15.38722222,121.39305559999998,Region III,Aurora,Aurora,Dingalan,Dingalan
5280,104437,16.3675,122.2128,Region III,Aurora,Aurora,Dilasag,Dilasag
5281,104498,15.77138889,121.44166670000001,Region III,Aurora,Aurora,Maria Aurora,Ma. Aurora
5282,104518,15.6063,121.5578,Region III,Aurora,Aurora,San Luis,San Luis
5283,104470,15.84416667,121.5358333,Region III,Aurora,Aurora,Dipaculao,Dipaculao
5284,106630,15.39148562,120.34971270000001,Region III,Tarlac,Tarlac,San Jose,San Jose
5285,106921,14.968905,120.088509,Region III,Zambales,Zambales,San Antonio,San Antonio
5286,106872,15.332402,119.97948500000001,Region III,Zambales,Zambales,Iba (Capital),Iba
5287,104471,15.9222,121.5634,Region III,Aurora,Aurora,Dipaculao,Dipaculao
